 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
  57   6    -0.02   0.01  -0.05     0.02  -0.03  -0.09    -0.04  -0.04   0.02
  58   6    -0.02   0.01  -0.07     0.02  -0.03  -0.08    -0.04  -0.05   0.02
  59   6    -0.02   0.01  -0.09     0.02  -0.03  -0.05    -0.05  -0.06   0.00
  60   7    -0.02   0.01  -0.12     0.02  -0.03  -0.03    -0.05  -0.06  -0.01
  61   6    -0.01   0.00  -0.08     0.01  -0.01  -0.00    -0.05  -0.05   0.01
  62   6     0.00   0.00  -0.06     0.04   0.01   0.02    -0.06  -0.02  -0.01
  63   6     0.04  -0.03  -0.01     0.01   0.05   0.04    -0.08  -0.01   0.00
  64   6     0.06  -0.06   0.03    -0.06   0.06   0.02    -0.08  -0.02   0.02
  65   6     0.12  -0.11   0.10    -0.11   0.11   0.02    -0.10  -0.00   0.03
  66   6     0.20  -0.06   0.14    -0.18   0.06  -0.04    -0.13  -0.01   0.08
  67   6     0.14  -0.11   0.12    -0.06   0.13   0.06    -0.13   0.05  -0.01
  68   6     0.09  -0.21   0.13    -0.15   0.19   0.05    -0.07  -0.03   0.01
  69   6     0.04  -0.05   0.00    -0.08   0.03   0.00    -0.07  -0.06   0.04
  70   6     0.00  -0.02  -0.05    -0.05  -0.00  -0.01    -0.05  -0.07   0.03
